Plot,Experiment Name,HT
1048,2206,40
1049,2206,48
1050,2206,47
1051,2206,39
1052,2206,39
1053,2206,45
1054,2206,43
1055,2206,51
1056,2206,41
1057,2206,49
1058,2206,42
1059,2206,53
1060,2206,38
1061,2206,37
1062,2206,38
1063,2206,44
1064,2206,42
1065,2206,46
1066,2206,49
1067,2206,50
1068,2206,44
1069,2206,42
1070,2206,48
1071,2206,40
1072,2206,49
1073,2206,50
1074,2206,47
1075,2206,55
1076,2206,50
1077,2206,52
1078,2206,58
1079,2206,48
1080,2206,49
1081,2206,40
1082,2206,39
1083,2206,45
1084,2206,40
2001,2206,36
2002,2206,43
2003,2206,59
2004,2206,32
2005,2206,45
2006,2206,50
2007,2206,55
2008,2206,52
2009,2206,46
2010,2206,47
2011,2206,41
2012,2206,43
2013,2206,40
2014,2206,45
2015,2206,47
2016,2206,43
2017,2206,55
2018,2206,34
2019,2206,48
2020,2206,57.2
2021,2206,44.7
2022,2206,43
2023,2206,44
2024,2206,44
2025,2206,39
2026,2206,46
2027,2206,47
2028,2206,46
2029,2206,42
2030,2206,57
2031,2206,45
2032,2206,47.8
2033,2206,46
2034,2206,43.7
2035,2206,52
2036,2206,42
2037,2206,44
2038,2206,43
2039,2206,42
2040,2206,46
2041,2206,51
2042,2206,48.2
2043,2206,39
2044,2206,37
2045,2206,39
2046,2206,39
2047,2206,41
2048,2206,44
2049,2206,46
2050,2206,40
2051,2206,48
2052,2206,39
2053,2206,47
2054,2206,41
2055,2206,54
2056,2206,48
2057,2206,38
2058,2206,50
2059,2206,45
2060,2206,44
2061,2206,37.8
2062,2206,43
2063,2206,40.2
2064,2206,44
2065,2206,42
2066,2206,43
2067,2206,53
2068,2206,39
2069,2206,45
2070,2206,42.7
2071,2206,51
2072,2206,43
2073,2206,45
2074,2206,44
2075,2206,40
2076,2206,40
2077,2206,48
2078,2206,38
2079,2206,39
2080,2206,50
2081,2206,41
2082,2206,48
2083,2206,48.7
2084,2206,59
3001,2206,34
3002,2206,58
3003,2206,57
3004,2206,37.3
3005,2206,40
3006,2206,40
3007,2206,41
3008,2206,31
3009,2206,40
3010,2206,39
3011,2206,39
3012,2206,46
3013,2206,43
3014,2206,49
3015,2206,57
3016,2206,38
3017,2206,51
3018,2206,45
3019,2206,37
3020,2206,38
3021,2206,50
3022,2206,37
3023,2206,48
3024,2206,49
3025,2206,42
3026,2206,43
3027,2206,51
3028,2206,37
3029,2206,47
3030,2206,39
3031,2206,41
3032,2206,40
3033,2206,42
3034,2206,47
3035,2206,43
3036,2206,49.9
3037,2206,40.4
3038,2206,47
3039,2206,35
3040,2206,39
3041,2206,52
3042,2206,56.9
3043,2206,40
3044,2206,40
3045,2206,47.3
3046,2206,39
3047,2206,36
3048,2206,37
3049,2206,46
3050,2206,43
3051,2206,60
3052,2206,44
3053,2206,45
3054,2206,57
3055,2206,42
3056,2206,47
3057,2206,54
3058,2206,57
3059,2206,43
3060,2206,49
3061,2206,41
3062,2206,53
3063,2206,40
3064,2206,49
3065,2206,35
3066,2206,40
3067,2206,41
3068,2206,32
3069,2206,41
3070,2206,47
3071,2206,55
3072,2206,47
3073,2206,48
3074,2206,46
3075,2206,55
3076,2206,45
3077,2206,41
3078,2206,45
3079,2206,49
3080,2206,57
3081,2206,30
3082,2206,30
3083,2206,49
3084,2206,40
